Invoice Date,Invoice ID,Invoice Gas Station Location,Gross Purchase Cost,Amount Purchased,Fuel Type
1/2/2017,10000,1,7570.82,6609.6,G
1/2/2017,10001,1,12491.853,9338.736,D
1/2/2017,10002,1,,,
1/2/2017,10002,2,17034.345,13377.824,D
1/2/2017,,2,,,
1/2/2017,10003,2,12616.77153,9432.112,D
1/2/2017,10004,4,11363.80082,9139.2,D
1/2/2017,10005,5,9573.30189,7156.864,D
1/3/2017,10006,1,5670.54418,4239.216,D
1/3/2017,10007,1,7627.60115,6659.184,G
1/3/2017,10008,1,32175.985,26704.96,G
1/3/2017,10009,2,9467.31041,8265.312,G
1/3/2017,10010,2,9463.525,8262,G
1/3/2017,10011,5,9467.31041,8265.312,G
1/3/2017,10012,6,13248.935,11566.8,G
1/4/2017,10013,1,7570.82,5659.84,D
1/4/2017,10014,2,15141.64,11319.68,D
1/4/2017,10015,4,8645.87644,6463.536,D
1/5/2017,10016,1,9463.525,8262,G
1/5/2017,,1,,,
1/5/2017,10017,1,9463.525,7074.8,D
1/5/2017,10018,2,11390.29869,8515.232,D
1/5/2017,10019,4,11469.7923,10013.552,G
1/6/2017,10020,1,9463.525,7074.8,D
1/6/2017,10021,1,17041.91582,14568.48,G
1/6/2017,10022,1,31816.37105,26406.496,G
1/6/2017,10023,2,7570.82,6609.6,G
1/6/2017,10024,2,5681.90041,4247.712,D
1/6/2017,10025,3,13248.935,11566.8,G
1/6/2017,10026,5,10387.16504,9068.368,G
1/6/2017,10027,5,9490.02287,7094.608,D
1/9/2017,10028,1,11356.23,8489.76,D
1/9/2017,10029,1,9463.525,7074.8,D
1/9/2017,,1,,,
1/9/2017,10030,1,7408.04737,6467.504,G
1/11/2017,10031,1,11333.51754,9649.296,G
1/11/2017,10032,1,11360.01541,8492.592,D
1/11/2017,10033,1,32175.985,26347.472,G
1/11/2017,10034,2,11356.23,8489.76,D
1/11/2017,10035,2,9463.525,7074.8,D
1/11/2017,10036,2,11057.18261,9414.032,G
1/11/2017,10037,2,7078.7167,6026.784,G
1/11/2017,10038,4,6813.738,5801.184,G
1/11/2017,10039,4,10292.52979,7694.56,D
1/11/2017,10040,7,2910.98029,2478.4,G
1/12/2017,10041,1,9493.80828,7097.44,D
1/12/2017,10042,1,9482.45205,7088.96,D
1/12/2017,10043,1,10220.607,8701.776,G
1/12/2017,10044,5,7548.10754,6426.416,G
1/13/2017,10045,1,32183.55582,26014.768,G
1/13/2017,10046,1,3069.96751,2613.76,G
1/13/2017,10047,1,4939.96005,3693.056,D
1/16/2017,10048,2,12030.03298,8993.488,D
1/16/2017,10049,2,12117.09741,9058.576,D
1/16/2017,10050,4,11333.51754,8472.768,D
1/16/2017,10051,5,8710.22841,6511.648,D
1/17/2017,10052,1,20187.59153,14725.056,D
1/17/2017,10053,1,14619.25342,12446.768,G
1/17/2017,10054,1,32175.985,26008.64,G
1/17/2017,10055,3,14384.558,10753.696,D
1/17/2017,,3,,,
1/17/2017,10056,4,9300.75237,7918.624,G
1/18/2017,10057,1,10194.10913,8679.2,G
1/18/2017,10058,1,6813.738,5093.856,D
1/18/2017,10059,2,12491.853,10635.504,G
1/18/2017,10060,2,12113.312,10313.216,G
1/18/2017,10061,5,7612.45951,6481.216,G
1/20/2017,10062,1,32149.48713,25987.216,G
1/20/2017,10063,1,14006.017,10470.704,D
1/20/2017,10064,1,11382.72787,9691.216,G
1/20/2017,10065,1,9516.52074,8102.304,G
1/20/2017,10066,2,14384.558,10753.696,D
1/20/2017,10067,2,9463.525,7074.8,D
1/20/2017,10068,4,9463.525,7074.8,D
1/23/2017,10069,1,11356.23,9668.64,G
1/23/2017,10070,1,9463.525,7074.8,D
1/23/2017,10071,1,14384.558,10753.696,D
1/23/2017,10072,2,11356.23,8489.76,D
1/23/2017,10073,3,11356.23,9668.64,G
1/23/2017,10074,4,11356.23,9668.64,G
1/23/2017,10075,5,9459.73959,7071.968,D
1/24/2017,10076,1,7570.82,6445.76,G
1/24/2017,10077,1,30283.28,24478.72,G
1/24/2017,10078,5,9501.3791,8089.424,G
1/25/2017,10079,1,7570.82,6445.76,G
1/25/2017,10080,1,6438.98241,4813.696,D
1/26/2017,10081,4,9516.52074,7114.416,D
1/27/2017,10082,1,12166.30774,9095.36,D
1/27/2017,10083,1,7570.82,5659.84,D
1/27/2017,10084,1,9524.09156,8108.768,G
1/27/2017,10085,1,32183.55582,26014.768,G
1/27/2017,10086,2,5681.90041,4247.712,D
1/27/2017,10087,2,14744.17195,11022.544,D
1/27/2017,10088,2,12113.312,10313.216,G
1/27/2017,10089,2,20819.755,17347.44,G
1/27/2017,10090,4,9463.525,8057.2,G
1/27/2017,10091,5,8736.72628,7438.4,G
1/30/2017,10092,1,14914.5154,11149.888,D
1/30/2017,10093,1,13248.935,11280.08,G
1/31/2017,10094,1,32168.41418,26002.512,G
1/31/2017,10095,6,11356.23,9668.64,G
2/1/2017,10096,1,12378.2907,9253.84,D
2/1/2017,10097,1,7381.5495,5518.352,D
2/1/2017,10098,2,9474.88123,8066.864,G
2/1/2017,10099,2,9463.525,8057.2,G
2/1/2017,10100,2,7570.82,5659.84,D
2/1/2017,10101,2,13248.935,9904.72,D
2/1/2017,10102,3,11382.72787,8509.568,D
2/1/2017,10103,3,7570.82,6445.76,G
2/1/2017,10104,4,7570.82,6445.76,G
2/1/2017,10105,4,11356.23,8489.76,D
2/1/2017,10106,5,8717.79923,6517.296,D
2/1/2017,10107,5,5678.115,4834.32,G
2/1/2017,10108,6,9463.525,8057.2,G
2/2/2017,10109,1,12113.312,10313.216,G
2/3/2017,10110,1,32179.77041,26011.696,G
2/3/2017,10111,1,11564.42755,8645.408,D
2/3/2017,10112,1,1075.05644,915.296,G
2/3/2017,10113,1,8327.902,7090.336,G
2/6/2017,10114,1,11356.23,8489.76,D
2/6/2017,10115,1,8327.902,7090.336,G
2/6/2017,10116,2,17034.345,12425.04,D
2/7/2017,10117,1,13248.935,9904.72,D
