Alternative measures,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change) 2 3 4 5"
Canada,Percent
17-Jan,1.1
17-Feb,1.2
17-Mar,1.1
17-Apr,1
17-May,0.9
17-Jun,0.9
17-Jul,1.1
17-Aug,1.2
17-Sep,1.3
17-Oct,1.3
17-Nov,1.4
17-Dec,1.6
18-Jan,1.6
18-Feb,1.8
18-Mar,1.8
18-Apr,1.8
18-May,1.8
18-Jun,1.9
18-Jul,2.1
18-Aug,2
18-Sep,1.8
18-Oct,1.9
18-Nov,1.8
18-Dec,1.8
19-Jan,1.7
19-Feb,1.9
19-Mar,2
19-Apr,2
19-May,2.2
19-Jun,2.1
19-Jul,2.2
19-Aug,2.1
19-Sep,2.3
19-Oct,2.3
19-Nov,2.5
19-Dec,2.4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
